word,definition
abhor,To regard with horror or loathing; detest.
abacus,A manual computing device consisting of a frame holding parallel rods strung with movable counters.
abate,To reduce in amount, degree, or intensity; lessen. 
abdication,The act of abdicating; the renunciation of a high office, dignity, or trust, by its holder; commonly the voluntary renunciation of sovereign power.
aberration,A deviation from the proper or expected course. 
abet,To approve, encourage, and support (an action or a plan of action); urge and help on.
abeyance,The condition of being temporarily set aside; suspension.
abide,To put up with; tolerate.
abjure,To recant solemnly; renounce or repudiate.
abraded,Simple past tense and past participle of abrade.
abrogate,To abolish, do away with, or annul, especially by authority.
abscond,To leave quickly and secretly and hide oneself, often to avoid arrest or prosecution.
abstruse,Difficult to understand; recondite. 
abut,To touch or end at one end or side; lie adjacent.
abysmal,Resembling an abyss in depth; unfathomable.
acarpous,Botany   Producing no fruit; sterile.
acclaimed,Greatly praised or lauded, revered, highly respected.
accolade,An expression of approval; praise.
accretion,Growth or increase in size by gradual external addition, fusion, or inclusion.
adamant,Impervious to pleas, appeals, or reason; stubbornly unyielding. 
admonitory,Expressing admonition.
adorn,To lend beauty to.
adulteration,The action of adulterating, being mixed with extraneous material, illicit substitution of one substance for another.
affable,Easy and pleasant to speak to; approachable.
affinity,A natural attraction, liking, or feeling of kinship.
aggravate,To make worse or more troublesome.
agile,Characterized by quickness, lightness, and ease of movement; nimble.
agog,Full of keen anticipation or excitement; eager.
ail,To feel ill or have pain.
alacrity,Cheerful willingness; eagerness.
alcove,A recess or partly enclosed extension connected to or forming part of a room.
allegiance,Loyalty or the obligation of loyalty, as to a nation, sovereign, or cause. 
alleviate,To make (pain, for example) more bearable.
alloy,A homogeneous mixture or solid solution of two or more metals, the atoms of one replacing or occupying interstitial positions between the atoms of the other.
aloof,Distant physically or emotionally; reserved and remote.
amalgamate,To combine into a unified or integrated whole; unite. 
ambidextrous,Able to use both hands with equal facility.
ambiguous,Open to more than one interpretation.
ambivalent,Exhibiting or feeling ambivalence.
ameliorate,To make or become better; improve. 
amortize,To liquidate (a debt, such as a mortgage) by installment payments or payment into a sinking fund.
anguish,Agonizing physical or mental pain; torment. 
animosity,Bitter hostility or open enmity; active hatred.
antidote,A remedy or other agent used to neutralize or counteract the effects of a poison.
antithetical,Of, relating to, or marked by antithesis.
apartheid,An official policy of racial segregation formerly practiced in the Republic of South Africa, involving political, legal, and economic discrimination against nonwhites.
aplomb,Self-confident assurance; poise. 
apostate,One who has abandoned one's religious faith, a political party, one's principles, or a cause.
apotheosis,Exaltation to divine rank or stature; deification.
appease,To bring peace, quiet, or calm to; soothe.
apprehensive,Anxious or fearful about the future; uneasy. 
apprise,To give notice to; inform.
approbation,An expression of warm approval; praise.
apropos,Being at once opportune and to the point. 
apt,Exactly suitable; appropriate.
arabesque,A ballet position in which the dancer bends forward while standing on one straight leg with the arm extended forward and the other arm and leg extended backward.
arboreal,Relating to or resembling a tree.
ardor,Fiery intensity of feeling. 
arduous,Demanding great effort or labor; difficult.
argot,A specialized vocabulary or set of idioms used by a particular group.
arrant,Completely such; thoroughgoing.
arrogance,The state or quality of being arrogant; overbearing pride.
articulate,Endowed with the power of speech.
ascend,To go or move upward; rise. 
ascertain,To discover with certainty, as through examination or experimentation. 
ascetic,A person who renounces material comforts and leads a life of austere self-discipline, especially as an act of religious devotion.
ascribe,To attribute to a specified cause, source, or origin.
aseptic,Free of pathogenic microorganisms.
asperity,Roughness or harshness, as of surface, sound, or climate.
aspersion,An unfavorable or damaging remark; slander.
assail,To attack with or as if with violent blows; assault.
assiduous,Constant in application or attention; diligent.
assuage,To make (something burdensome or painful) less intense or severe.
asterisk,A star-shaped figure (*) used chiefly to indicate an omission, a reference to a footnote, or an unattested word, sound, or affix.
astringent,Medicine   Tending to draw together or constrict tissues; styptic.
astute,Having or showing shrewdness and discernment, especially with respect to one's own concerns. 
atonement,Amends or reparation made for an injury or wrong; expiation.
attenuate,To make slender, fine, or small.
attune,To bring into a harmonious or responsive relationship.
audacious,Fearlessly, often recklessly daring; bold. 
augury,The art, ability, or practice of auguring; divination.
august,Inspiring awe or admiration; majestic.
auspicious,Attended by favorable circumstances; propitious.
austere,Severe or stern in disposition or appearance; somber and grave.
auxiliary,Giving assistance or support; helping.
aver,To affirm positively; declare.
aversion,A fixed, intense dislike; repugnance.
avid,Having an ardent desire or unbounded craving; greedy.
avow,To acknowledge openly, boldly, and unashamedly; confess.
baleful,Portending evil; ominous. 
balk,To stop short and refuse to go on.
baneful,Causing harm, ruin, or death; harmful. See Usage Note at baleful.
barrage,An artificial obstruction, such as a dam or irrigation channel, built in a watercourse to increase its depth or to divert its flow.
barren,Not producing offspring.
bask,To expose oneself to pleasant warmth.
beatify,To make blessedly happy.
bedizen,To ornament or dress in a showy or gaudy manner.
belabor,To attack with blows; hit, beat, or whip. 
bellicose,Warlike or hostile in manner or temperament. 
belligerent,Inclined or eager to fight; hostile or aggressive.
